holeid,x,y,z,maxdepth,Campana,ENDDATE
DMH0003,475390.612,7481496.446,1764.623,192.0,2004_hidrica,14-Jul-2004
DMH0005,473601.326,7478798.937,1695.247,130.0,2004_hidrica,9-Jul-2004
DMH0006,473747.529,7479998.983,1702.164,90.0,2004_hidrica,17-Jul-2004
DMH0007,474630.633,7478484.599,1726.279,160.0,2004_hidrica,17-Jul-2004
DR183D,474408.109,7479630.314,1634.027,108.05,Tunel,
DR183I,474409.11,7479633.14,1634.027,108.05,Tunel,
DR88D,474448.05,7479631.304,1604.258,59.98,Tunel,
DR88I,474449.752,7479628.834,1604.258,59.98,Tunel,
DTH0001,474911.827,7479415.651,1738.143,98.0,2004_hidrica,17-Jul-2004
KP02-S01,473648.0,7480332.0,1700.0,50.2,2002_suelos,
KP02-S02,473326.0,7479471.0,1680.0,35.1,2002_suelos,
KP02-S03,473136.0,7479501.0,1680.0,20.23,2002_suelos,1-May-2000
KP02-S04,473029.0,7479254.0,1680.0,15.14,2002_suelos,1-Sep-2000
KP02-S05,473131.0,7478880.0,1680.0,15.1,2002_suelos,1-Nov-2000
KP02-S06,472023.0,7476822.0,1650.0,35.0,2002_suelos,
KP02-S07,472041.0,7474061.0,1670.0,25.0,2002_suelos,
KP02-S09,471833.0,7473701.0,1670.0,25.0,2002_suelos,
N0001,474977.77,7478010.19,1735.41,200.0,Descubrimiento,5-Jul-1995
N0002,479988.24,7482078.68,1963.9,110.0,Descubrimiento,6-Jul-1995
N0003,475008.26,7483056.67,1762.4,130.0,Descubrimiento,7-Jul-1995
N0004,474953.06,7476059.54,1732.87,160.0,Descubrimiento,7-Jul-1995
N0005,474949.65,7477024.4,1734.17,226.0,Descubrimiento,7-Mar-1996
N0006,474002.16,7477990.55,1705.1,90.0,Descubrimiento,7-Mar-1996
N0007,474973.95,7479039.76,1736.95,140.0,Descubrimiento,8-Mar-1996
N0008,476002.84,7477997.21,1770.87,230.0,Descubrimiento,9-Mar-1996
N0009,473490.558,7479006.559,1690.651,120.0,Descubrimiento,10-Mar-1996
N0010,474969.913,7481036.973,1747.053,300.0,Descubrimiento,12-Mar-1996
N0011,481988.39,7482035.19,2072.42,70.0,Descubrimiento,15-Mar-1996
N0012,478943.04,7480535.49,1909.81,170.0,Descubrimiento,16-Mar-1996
N0013,477990.48,7478008.77,1846.97,160.0,Descubrimiento,17-Mar-1996
N0014,473512.79,7475551.79,1690.66,144.0,Descubrimiento,18-Mar-1996
N0015,472000.0,7473400.0,1687.0,174.0,Descubrimiento,19-Mar-1996
N0016,476999.49,7480986.15,1824.37,180.0,Descubrimiento,17-May-1996
N0017,475982.633,7482026.757,1789.413,160.0,Descubrimiento,18-May-1996
N0018,476010.52,7480048.38,1782.74,228.0,Descubrimiento,19-May-1996
N0020,475994.68,7481095.54,1784.97,180.0,Descubrimiento,25-May-1996
N0021,474908.702,7482011.826,1752.243,252.0,Descubrimiento,26-May-1996
N0022,476956.82,7482996.75,1832.645,198.0,Descubrimiento,27-Nov-1996
N0023,477991.88,7482009.1,1870.59,176.0,Descubrimiento,1-May-1996
N0024,478976.33,7483058.81,1915.68,116.0,Descubrimiento,1-May-1996
N0025,479989.07,7482068.31,1963.74,188.0,Descubrimiento,1-May-1996
N0026,476965.457,7482036.134,1826.651,186.0,Descubrimiento,1-May-1996
N0027,473954.006,7482018.437,1722.776,114.0,Descubrimiento,1-May-1996
N0028,474000.362,7481068.685,1716.279,98.0,Descubrimiento,1-May-1996
N0029,473983.366,7480033.355,1709.186,183.0,Descubrimiento,1-May-1996
N0030,474010.262,7479026.271,1706.292,240.0,Descubrimiento,1-May-1996
N0031,472960.77,7480039.8,1680.49,66.0,Descubrimiento,1-May-1996
N0032,472982.121,7479021.634,1677.535,130.0,Descubrimiento,1-May-1996
N0033,472989.779,7478015.453,1676.915,98.0,Descubrimiento,1-May-1996
N0034,472498.27,7476962.09,1661.39,192.0,Descubrimiento,1-May-1996
N0035,472000.942,7479008.798,1655.121,200.0,Descubrimiento,1-May-1996
N0036,470992.36,7479001.36,1641.43,200.0,Descubrimiento,1-May-1996
N0037,470000.0,7479000.0,1675.5,216.0,Descubrimiento,1-May-1996
N0038,471970.635,7480027.885,1661.21,132.0,Descubrimiento,1-May-1996
N0039,472946.18,7481010.34,1689.47,66.0,Descubrimiento,1-May-1996
N0040,472943.96,7482017.9,1698.51,54.0,Descubrimiento,1-May-1996
N0041,473971.347,7483030.325,1732.202,240.0,Descubrimiento,1-May-1996
N0042,474000.91,7484000.45,1743.61,184.0,Descubrimiento,1-May-1996
N0043,474505.18,7485030.99,1768.7,192.0,Descubrimiento,1-May-1996
N0044,475980.05,7483014.0,1795.5,188.0,Descubrimiento,1-Jan-2000
N0045,473983.571,7479546.588,1705.816,248.0,Descubrimiento,1-Feb-2000
N0046,474506.289,7478966.833,1721.397,180.0,Descubrimiento,1-Mar-2000
N0047,475977.76,7479016.0,1773.05,210.0,Descubrimiento,1-Apr-2000
N0048,473960.59,7477009.36,1701.64,156.0,Descubrimiento,1-May-2000
N0049,473452.325,7479506.296,1690.337,120.0,Descubrimiento,1-May-2000
N0050,471036.01,7480033.31,1648.41,78.0,Descubrimiento,1-May-2000
N0051,469000.0,7478500.0,1660.0,72.0,Descubrimiento,1-Jun-2000
N0052,469000.0,7482500.0,1650.0,54.0,Descubrimiento,1-Jun-2000
N0053,469500.0,7484000.0,1640.0,78.0,Descubrimiento,1-Jun-2000
N0054,469500.0,7485500.0,1645.0,133.0,Descubrimiento,1-Jun-2000
N0055,475010.389,7481578.397,1751.701,236.0,Descubrimiento,1-Jul-2000
N0056,474801.628,7479798.559,1736.151,250.0,1996_delin,1-Aug-2000
N0057,473194.67,7476995.34,1679.34,90.0,Descubrimiento,1-Jul-2000
N0058,475002.293,7479798.583,1743.333,300.0,1996_delin,1-Nov-2000
N0059,475202.808,7479798.692,1750.995,300.0,1996_delin,1-Nov-2000
N0060,475001.997,7480198.833,1744.182,300.0,1996_delin,1-Jan-2000
N0061,475201.735,7480198.612,1751.453,243.8,1996_delin,1-Jan-2000
N0062,475202.274,7479999.601,1751.984,250.0,1996_delin,1-Jan-2000
N0063,474935.726,7479934.517,1741.106,298.15,1996_delin,1-Jan-2000
N0064,474802.352,7480199.822,1737.357,325.0,1996_delin,1-Jan-2000
N0065,474753.196,7479999.975,1734.546,272.45,1996_delin,1-Feb-2000
N0066,474602.282,7479998.131,1729.272,293.85,1996_delin,1-Mar-2000
N0067,474004.841,7479203.948,1705.886,350.1,1996_delin,1-Jul-2000
N0068,475002.849,7480399.763,1745.707,283.25,1996_delin,1-Oct-2000
N0069,474201.843,7479198.702,1712.512,303.6,1996_delin,1-Jan-2000
N0070,474386.554,7479402.327,1719.155,300.0,1996_delin,1-Nov-2000
N0071,475001.108,7481605.359,1751.521,284.55,1996_delin,1-Jan-2000
N0072,474002.182,7478798.853,1705.817,254.9,1996_delin,1-Jan-2000
N0073,475002.611,7481400.085,1749.808,301.75,1996_delin,1-Jan-2000
N0074,474204.035,7479400.391,1713.149,286.8,1996_delin,1-Jan-2000
N0075,475203.736,7481801.051,1760.148,289.4,1996_delin,1-Jan-2000
N0076,474401.822,7479798.71,1721.645,289.25,1996_delin,1-Jan-2000
N0077,473799.171,7478796.635,1700.235,233.8,1996_delin,1-Jan-2000
N0078,475002.349,7481800.477,1754.468,277.55,1996_delin,1-Jan-2000
N0079,474802.233,7481399.129,1743.393,305.0,1996_delin,1-Jan-2000
N0080,473801.503,7478997.903,1699.964,242.9,1996_delin,1-Jan-2000
N0081,474600.335,7479799.0,1728.304,300.0,1996_delin,1-Jan-2000
N0082,475201.222,7481600.603,1758.652,302.0,1996_delin,1-Jan-2000
N0083,474203.447,7479602.394,1714.253,333.8,1996_delin,1-Feb-2000
N0084,474802.552,7481599.076,1745.324,308.9,1996_delin,1-Jan-2000
N0085,474626.437,7479598.347,1728.655,313.5,1996_delin,1-Apr-2000
N0086,475202.564,7481399.61,1756.816,320.05,1996_delin,1-Jan-2000
N0087,473801.808,7479197.846,1699.799,254.2,1996_delin,1-Feb-2000
N0088,474403.563,7479598.553,1721.05,315.45,1996_delin,1-Sep-2000
N0089,474802.351,7481800.022,1747.444,310.0,1996_delin,1-Jun-2000
N0090,475202.21,7481199.552,1756.174,299.3,1996_delin,1-Jul-2000
N0091,474601.636,7479398.572,1726.502,304.95,1996_delin,1-Sep-2000
N0092,474802.576,7481199.569,1742.331,316.05,1996_delin,1-Oct-2000
N0093,474012.294,7479027.006,1706.11,321.95,1996_delin,1-Aug-2000
N0094,474001.932,7479397.62,1705.502,294.05,1996_delin,1-Jan-2000
N0095,474803.611,7479598.127,1734.989,300.0,1996_delin,1-Dec-2000
N0096,474401.571,7480599.295,1725.805,266.0,1996_delin,1-Jan-2000
N0097,474401.804,7479198.665,1718.662,300.0,1996_delin,1-Jan-2000
N0098,474250.399,7478998.542,1713.849,238.95,1996_delin,1-Jan-2000
N0099,475402.614,7481999.832,1769.037,250.0,1996_delin,1-Jan-2000
N0100,473801.952,7479398.203,1699.847,223.0,1996_delin,1-Jan-2000
N0101,474600.001,7480599.145,1732.728,315.25,1996_delin,1-Jan-2000
N0102,475201.947,7482000.381,1762.632,290.15,1996_delin,1-Jan-2000
N0103,474201.717,7478798.301,1712.015,215.4,1996_delin,1-Jan-2000
N0104,475403.455,7481801.342,1767.386,247.65,1996_delin,1-Jan-2000
N0105,474004.306,7479597.292,1707.731,265.75,1996_delin,1-Jan-2000
N0106,474803.814,7480591.947,1739.597,291.3,1996_delin,1-Jan-2000
N0107,474801.567,7480399.279,1738.397,283.85,1996_delin,1-Jan-2000
N0108,474402.38,7479999.738,1722.085,294.75,1996_delin,1-Jan-2000
N0109,475402.722,7481600.099,1765.144,251.15,1996_delin,1-Jan-2000
N0110,474602.204,7480398.779,1731.226,306.9,1996_delin,1-Jan-2000
N0111,474201.274,7479799.507,1714.803,279.45,1996_delin,1-Jan-2000
N0112,474802.0,7480799.47,1740.619,253.9,1996_delin,1-Jan-2000
N0113,475001.223,7481198.51,1748.982,270.7,1996_delin,1-Jan-2000
N0114,474999.984,7480799.295,1747.302,243.65,1996_delin,1-Jan-2000
N0115,474601.514,7480198.046,1730.132,300.0,1996_delin,1-Feb-2000
N0116,474201.469,7479999.111,1715.331,239.0,1996_delin,1-Feb-2000
N0117,474402.061,7478998.313,1718.73,258.55,1996_delin,1-Feb-2000
N0118,474802.464,7480999.664,1741.366,275.1,1996_delin,1-Feb-2000
N0119,474602.953,7479199.812,1725.772,240.25,1996_delin,1-Feb-2000
N0120,474001.137,7479798.923,1708.251,239.2,1996_delin,1-Apr-2000
N0121,475402.534,7481399.21,1764.266,242.95,1996_delin,1-May-2000
N0122,474402.188,7480199.16,1723.714,292.75,1996_delin,1-Jun-2000
N0123,474601.885,7480799.306,1733.904,257.1,1996_delin,1-Jun-2000
N0124,475002.437,7479598.971,1741.933,286.35,1996_delin,1-Jun-2000
N0125,473801.154,7479598.36,1700.93,250.0,1996_delin,1-Aug-2000
N0126,475599.387,7481607.132,1772.048,256.8,1996_delin,1-Aug-2000
N0127,474602.294,7481400.127,1736.575,248.35,1996_delin,1-Sep-2000
N0128,474599.553,7481599.032,1738.892,250.0,1996_delin,1-Nov-2000
N0129,475600.213,7481803.852,1774.143,248.0,1996_delin,1-Nov-2000
N0130,475003.428,7480599.455,1746.338,264.65,1996_delin,1-Dec-2000
N0131,475003.585,7481998.518,1755.379,239.0,1996_delin,1-Dec-2000
N0132,475202.671,7480999.158,1755.198,255.15,1996_delin,1-Dec-2000
N0133,475203.051,7480799.111,1753.978,257.5,1996_delin,1-Dec-2000
N0134,474860.596,7479927.497,1738.464,409.45,1996_delin,1-Dec-2000
N0135,474600.454,7479798.495,1728.328,114.65,1996_delin,1-Dec-2000
N0136,474203.685,7479601.858,1714.231,377.1,1996_delin,1-Dec-2000
N0137,474414.093,7479604.609,1721.722,303.85,1996_delin,1-Apr-2000
N0138,474051.371,7479399.07,1707.947,335.75,1996_delin,1-Apr-2000
N0139,474003.235,7479199.808,1705.884,324.95,1996_delin,1-Nov-2000
N0140,474599.864,7479804.885,1728.729,300.3,1996_delin,1-Sep-2000
N0141,475502.632,7482100.458,1773.364,194.5,1997_infill,1-Jan-2000
N0142,475402.773,7482100.061,1769.67,300.0,1997_infill,1-Jan-2000
N0143,475503.159,7481399.713,1767.807,168.0,1997_infill,1-Jan-2000
N0144,475301.401,7482100.107,1765.671,294.1,1997_infill,1-Jan-2000
N0145,475301.931,7481400.288,1760.329,294.4,1997_infill,1-Jan-2000
N0146,475101.727,7481400.201,1753.324,254.9,1997_infill,1-Jan-2000
N0147,475201.9,7482099.67,1762.742,270.1,1997_infill,1-Jan-2000
N0148,475102.817,7482098.763,1759.17,266.45,1997_infill,1-Jan-2000
N0149,474901.748,7481399.739,1746.801,285.5,1997_infill,1-Jan-2000
N0150,475001.998,7482100.785,1755.922,291.3,1997_infill,1-Jan-2000
N0151,474702.272,7481400.473,1740.117,276.5,1997_infill,1-Feb-2000
N0152,474901.765,7482100.396,1752.459,282.3,1997_infill,1-Apr-2000
N0153,475503.171,7481299.965,1767.398,263.0,1997_infill,1-Jan-2000
N0154,475502.338,7481998.798,1772.466,228.75,1997_infill,1-Jul-2000
N0155,475403.765,7481300.011,1763.789,273.3,1997_infill,1-Jul-2000
N0156,475301.816,7482001.06,1765.721,283.5,1997_infill,1-Sep-2000
N0157,475303.603,7481299.417,1759.916,286.0,1997_infill,1-Sep-2000
N0158,475102.772,7480698.946,1750.468,223.1,1997_infill,1-Aug-2000
N0159,475102.263,7481999.658,1758.896,287.05,1997_infill,1-Nov-2000
N0160,475201.142,7481299.268,1756.255,293.3,1997_infill,1-Nov-2000
N0161,474002.118,7479498.065,1707.038,300.0,1997_infill,1-Nov-2000
N0162,475102.744,7481299.748,1752.419,277.8,1997_infill,1-Dec-2000
N0163,474902.315,7481999.997,1751.77,223.6,1997_infill,1-Dec-2000
N0164,474902.232,7481899.617,1751.272,320.5,1997_infill,1-Dec-2000
N0165,474902.642,7481300.001,1745.659,268.8,1997_infill,1-Dec-2000
N0166,475002.729,7480699.412,1747.042,253.0,1997_infill,1-Dec-2000
N0167,474102.751,7479498.176,1710.673,267.3,1997_infill,1-Dec-2000
N0168,475003.2,7481900.738,1754.991,251.8,1997_infill,1-Dec-2000
N0169,474801.809,7481299.998,1742.115,270.1,1997_infill,1-Dec-2000
N0170,475102.877,7481899.06,1758.214,225.1,1997_infill,1-Dec-2000
N0171,474202.554,7479497.766,1713.524,295.9,1997_infill,1-Dec-2000
N0172,474703.382,7481299.115,1739.207,243.5,1997_infill,1-Dec-2000
N0173,475203.025,7481900.298,1761.525,276.8,1997_infill,1-Dec-2000
N0174,474702.471,7481499.793,1741.317,279.5,1997_infill,1-Dec-2000
N0175,474302.622,7479498.786,1717.278,293.0,1997_infill,1-Dec-2000
N0176,474902.102,7480700.271,1743.72,289.5,1997_infill,1-Dec-2000
N0177,475301.915,7481900.514,1764.546,246.4,1997_infill,1-Dec-2000
N0178,474802.254,7481499.599,1744.531,288.5,1997_infill,1-Dec-2000
N0179,475402.949,7481900.955,1768.054,281.2,1997_infill,1-Dec-2000
N0180,474902.28,7481498.964,1747.608,288.5,1997_infill,1-Dec-2000
N0181,474403.394,7479498.319,1720.618,300.0,1997_infill,1-Dec-2000
N0182,475001.793,7481499.761,1750.886,294.0,1997_infill,1-Dec-2000
N0183,474502.643,7479598.69,1724.68,294.5,1997_infill,1-Dec-2000
N0184,475502.875,7481900.749,1771.864,250.0,1997_infill,1-Dec-2000
N0185,474801.763,7480699.374,1740.103,282.1,1997_infill,1-Mar-2000
N0186,475102.711,7481499.754,1754.278,267.25,1997_infill,1-Mar-2000
N0187,474301.502,7479598.889,1717.346,273.9,1997_infill,1-Mar-2000
N0188,475502.72,7481800.255,1770.349,249.2,1997_infill,1-Mar-2000
N0189,474701.616,7480699.751,1736.881,280.5,1997_infill,1-Jul-2000
N0190,475302.557,7481799.841,1763.466,278.1,1997_infill,1-May-2000
N0191,475203.781,7481498.572,1757.488,264.5,1997_infill,1-May-2000
N0192,474101.564,7479598.838,1711.205,280.0,1997_infill,1-May-2000
N0193,475102.995,7481799.622,1757.176,301.4,1997_infill,1-Jul-2000
N0194,475302.29,7481499.89,1761.23,258.5,1997_infill,1-Jun-2000
N0195,473902.436,7479599.388,1704.342,272.6,1997_infill,1-Aug-2000
N0196,475402.383,7481499.655,1764.743,292.05,1997_infill,1-Aug-2000
N0197,473900.33,7479698.91,1704.54,250.1,1997_infill,1-Nov-2000
N0198,474902.042,7481800.116,1750.562,261.75,1997_infill,1-Sep-2000
N0199,474300.862,7479998.057,1718.663,283.7,1997_infill,1-Nov-2000
N0200,475504.253,7481499.779,1768.663,279.5,1997_infill,1-Oct-2000
N0201,474701.595,7481699.656,1743.523,293.35,1997_infill,1-Nov-2000
N0202,474602.399,7480699.067,1733.741,260.45,1997_infill,1-Dec-2000
N0203,474801.834,7481699.242,1746.289,280.95,1997_infill,1-Dec-2000
N0204,474501.465,7480000.486,1725.737,300.0,1997_infill,1-Nov-2000
N0205,474001.423,7479698.267,1707.811,250.0,1997_infill,1-Nov-2000
N0206,474502.218,7480699.289,1730.261,261.4,1997_infill,1-Dec-2000
N0207,474902.123,7481700.601,1749.633,280.65,1997_infill,1-Dec-2000
N0208,475002.317,7481700.629,1752.584,300.0,1997_infill,1-Dec-2000
N0209,474702.537,7480899.273,1737.468,270.5,1997_infill,1-Dec-2000
N0210,474701.585,7479998.332,1732.733,300.0,1997_infill,1-Dec-2000
N0211,474802.035,7480898.541,1741.374,249.3,1997_infill,1-Dec-2000
N0212,475101.905,7481699.337,1755.839,300.4,1997_infill,1-Dec-2000
N0213,474803.06,7480098.455,1737.433,300.0,1997_infill,1-Dec-2000
N0214,474102.056,7479699.165,1710.787,300.0,1997_infill,1-Dec-2000
N0215,474902.042,7480899.371,1744.412,252.5,1997_infill,1-Dec-2000
N0216,475002.841,7480898.048,1747.779,288.4,1997_infill,1-Dec-2000
N0217,474702.559,7480099.483,1733.377,300.0,1997_infill,1-Dec-2000
N0218,475202.113,7481699.842,1759.294,295.15,1997_infill,1-Dec-2000
N0219,475103.528,7480899.349,1751.185,249.5,1997_infill,1-Dec-2000
N0220,474202.608,7479698.319,1714.321,300.0,1997_infill,1-Dec-2000
N0221,474602.322,7480099.003,1729.867,300.0,1997_infill,1-Dec-2000
N0222,475302.897,7481700.005,1762.704,280.55,1997_infill,1-Dec-2000
N0223,475102.915,7480799.461,1750.659,250.2,1997_infill,1-Dec-2000
N0224,474301.186,7479699.161,1717.928,300.0,1997_infill,1-Dec-2000
N0225,474902.591,7480798.67,1744.053,250.7,1997_infill,1-Dec-2000
N0226,475402.111,7481699.415,1766.445,250.55,1997_infill,1-Dec-2000
N0227,474501.919,7480099.022,1726.368,300.0,1997_infill,1-Dec-2000
N0228,474702.743,7480799.678,1737.649,250.5,1997_infill,1-Dec-2000
N0229,475502.587,7481699.619,1769.906,275.05,1997_infill,1-Dec-2000
N0230,474401.502,7480097.731,1722.702,300.0,1997_infill,1-Dec-2000
N0231,474701.083,7479899.429,1732.442,300.0,1997_infill,1-Dec-2000
N0232,475501.616,7481600.45,1768.583,251.45,1997_infill,1-Dec-2000
N0233,474402.99,7479698.616,1721.488,300.0,1997_infill,1-Apr-2000
N0234,474300.927,7480098.787,1719.366,300.0,1997_infill,1-Mar-2000
N0235,474500.634,7479899.359,1725.486,302.0,1997_infill,1-May-2000
N0236,474602.338,7479898.836,1728.602,250.0,1997_infill,1-Apr-2000
N0237,475302.893,7481601.182,1761.74,250.0,1997_infill,1-May-2000
N0238,474402.472,7479900.067,1722.233,300.0,1997_infill,1-Sep-2000
N0239,474503.006,7479698.382,1725.149,300.0,1997_infill,1-Sep-2000
N0240,474900.246,7480200.717,1740.779,280.05,1997_infill,1-Aug-2000
N0241,475101.921,7481599.74,1754.992,300.5,1997_infill,1-Aug-2000
N0242,474702.432,7480198.35,1733.514,291.6,1997_infill,1-Aug-2000
N0243,474902.233,7481599.71,1748.231,300.0,1997_infill,1-Dec-2000
N0244,474502.444,7480199.43,1727.325,255.0,1997_infill,1-Nov-2000
N0245,474301.511,7479898.971,1718.494,300.0,1997_infill,1-Nov-2000
N0246,474501.505,7479799.19,1723.5,287.07,1997_infill,1-Nov-2000
N0247,474501.966,7480297.996,1726.992,250.55,1997_infill,1-Nov-2000
N0248,474702.453,7481599.393,1741.943,298.4,1997_infill,1-Nov-2000
N0249,474202.263,7479898.773,1715.396,258.45,1997_infill,1-Dec-2000
N0250,474600.046,7480298.351,1730.594,300.9,1997_infill,1-Dec-2000
N0251,474302.077,7479799.231,1718.468,300.0,1997_infill,1-Dec-2000
N0252,474702.213,7480299.104,1734.044,300.3,1997_infill,1-Dec-2000
N0253,474101.266,7479897.952,1711.979,250.0,1997_infill,1-Dec-2000
N0254,474802.495,7480298.999,1737.624,300.0,1997_infill,1-Dec-2000
N0255,475001.038,7481299.742,1749.198,299.4,1997_infill,1-Dec-2000
N0256,474002.69,7479898.538,1708.385,250.0,1997_infill,1-Dec-2000
N0257,474901.732,7480298.289,1741.306,301.3,1997_infill,1-Dec-2000
N0258,474101.786,7479799.134,1710.935,262.5,1997_infill,1-Mar-2000
N0259,474902.059,7480398.173,1742.257,283.6,1997_infill,1-Mar-2000
N0260,474703.25,7480399.448,1735.061,302.4,1997_infill,1-Mar-2000
N0261,473903.113,7479899.299,1705.844,228.5,1997_infill,1-Mar-2000
N0262,474502.124,7480399.043,1727.941,301.25,1997_infill,1-Mar-2000
N0263,475101.504,7481197.046,1752.458,292.15,1997_infill,1-Mar-2000
N0264,473901.748,7479799.139,1704.945,247.5,1997_infill,1-Jul-2000
N0265,474899.04,7481196.127,1745.699,302.4,1997_infill,1-May-2000
N0266,473703.71,7479499.689,1697.45,245.5,1997_infill,1-Nov-2000
N0267,474902.271,7480599.211,1743.147,282.6,1997_infill,1-Aug-2000
N0268,473701.435,7479398.53,1696.774,225.5,1997_infill,1-Jul-2000
N0269,474702.487,7480598.932,1736.452,300.0,1997_infill,1-Nov-2000
N0270,474502.804,7480598.78,1729.657,300.0,1997_infill,1-Dec-2000
N0271,473800.808,7479499.379,1700.616,247.5,1997_infill,1-Dec-2000
N0272,474502.606,7480498.688,1728.828,299.45,1997_infill,1-Dec-2000
N0273,473902.361,7479398.511,1703.391,300.2,1997_infill,1-Dec-2000
N0274,474601.234,7480498.79,1732.541,300.0,1997_infill,1-Dec-2000
N0275,473900.0,7479500.0,1702.05,81.6,1997_infill,1-Jul-2000
N0275A,473900.107,7479495.89,1703.802,300.5,1997_infill,1-Jul-2000
N0276,475101.284,7480300.286,1748.505,250.0,1997_infill,1-Apr-2000
N0277,474101.879,7479398.179,1710.166,300.0,1997_infill,1-Apr-2000
N0278,474701.703,7480498.525,1735.797,300.15,1997_infill,1-Apr-2000
N0279,475104.279,7480199.458,1747.802,250.0,1997_infill,1-Apr-2000
N0280,474802.821,7480498.051,1738.837,305.4,1997_infill,1-Apr-2000
N0281,473701.406,7479299.307,1696.494,225.7,1997_infill,1-Apr-2000
N0282,475301.544,7480099.295,1755.471,176.2,1997_infill,1-Apr-2000
N0283,475204.185,7480098.518,1751.731,253.8,1997_infill,1-Apr-2000
N0284,474902.493,7480500.229,1743.005,300.0,1997_infill,1-Apr-2000
N0285,474301.701,7479399.72,1716.343,301.25,1997_infill,1-Apr-2000
N0286,474201.324,7478898.059,1711.317,300.0,1997_infill,1-Mar-2000
N0287,475101.564,7480097.995,1747.759,282.7,1997_infill,1-Mar-2000
N0288,473802.448,7479301.035,1699.424,250.0,1997_infill,1-Jul-2000
N0289,474001.569,7478898.423,1706.301,300.06,1997_infill,1-Mar-2000
N0290,473900.185,7478898.735,1702.664,300.45,1997_infill,1-Jul-2000
N0291,474301.948,7478898.087,1715.285,288.9,1997_infill,1-Aug-2000
N0292,475003.225,7480099.058,1744.369,300.0,1997_infill,1-Jun-2000
N0293,474901.467,7479999.221,1739.784,300.0,1997_infill,1-Aug-2000
N0294,474401.341,7478898.111,1718.579,218.25,1997_infill,1-Dec-2000
N0295,474099.543,7478998.33,1708.292,297.8,1997_infill,1-Nov-2000
N0296,473899.385,7479299.125,1703.064,300.0,1997_infill,1-Jul-2000
N0297,475101.046,7479998.131,1748.056,298.5,1997_infill,1-Dec-2000
N0298,473902.497,7479099.015,1703.277,300.0,1997_infill,1-Nov-2000
N0299,475304.584,7480000.108,1755.916,177.5,1997_infill,1-Dec-2000
N0300,474501.092,7478897.276,1720.942,202.8,1997_infill,1-Dec-2000
N0301,474804.853,7479896.253,1736.398,300.0,1997_infill,1-Dec-2000
N0302,474300.95,7478997.978,1715.142,300.1,1997_infill,1-Dec-2000
N0303,473902.06,7478997.694,1702.812,300.0,1997_infill,1-Dec-2000
N0304,474904.153,7479899.636,1739.646,300.0,1997_infill,1-Dec-2000
N0305,473999.802,7479298.906,1706.392,305.15,1997_infill,1-Dec-2000
N0305A,474000.468,7479347.8,1706.363,24.0,1997_cond,1-Dec-2000
N0305B,474049.659,7479350.638,1707.817,24.0,1997_cond,1-Dec-2000
N0305C,474050.228,7479298.303,1708.21,32.0,1997_cond,1-Dec-2000
N0305D,474050.734,7479252.237,1707.486,40.0,1997_cond,1-Dec-2000
N0305E,474001.244,7479248.687,1705.851,44.0,1997_cond,1-Dec-2000
N0305F,473949.732,7479300.181,1704.809,42.0,1997_cond,1-Dec-2000
N0305G,473952.342,7479245.299,1704.767,48.0,1997_cond,1-Dec-2000
N0305H,473948.241,7479345.246,1704.543,32.0,1997_cond,1-Dec-2000
N0305I,474100.44,7479350.728,1707.194,34.0,1997_cond,1-Dec-2000
N0306,474305.849,7479096.388,1714.901,300.0,1997_infill,1-Dec-2000
N0307,474194.365,7479098.622,1712.084,300.0,1997_infill,1-Dec-2000
N0308,474403.594,7479098.036,1718.256,250.65,1997_infill,1-Dec-2000
N0309,474103.219,7479099.187,1708.125,300.0,1997_infill,1-Dec-2000
N0310,475005.602,7479898.488,1743.305,300.0,1997_infill,1-Dec-2000
N0311,474002.072,7479098.923,1705.417,300.0,1997_infill,1-Dec-2000
N0312,474504.082,7479098.196,1721.598,300.0,1997_infill,1-Dec-2000
N0313,474102.676,7479297.713,1708.86,300.2,1997_infill,1-Feb-2000
N0314,473798.095,7479098.674,1699.106,250.0,1997_infill,1-Dec-2000
N0315,475002.434,7479999.777,1744.243,300.0,1997_infill,1-Dec-2000
N0316,474502.589,7478998.624,1721.257,250.25,1997_infill,1-Jan-2000
N0317,475104.31,7479898.602,1746.958,249.3,1997_infill,1-Jan-2000
N0318,473697.282,7479099.179,1697.018,251.5,1997_infill,1-Feb-2000
N0319,474501.454,7479200.044,1721.736,290.65,1997_infill,1-May-2000
N0320,475202.462,7479898.796,1750.824,250.0,1997_infill,1-Mar-2000
N0321,474202.413,7479298.189,1712.409,294.1,1997_infill,1-Dec-2000
N0322,473699.633,7479198.564,1696.763,250.0,1997_infill,1-Jun-2000
N0323,475303.601,7479898.68,1754.881,173.7,1997_infill,1-Jun-2000
N0324,474606.222,7479098.119,1724.546,239.4,1997_infill,1-Sep-2000
N0325,473901.38,7479198.714,1702.899,291.0,1997_infill,1-Sep-2000
N0326,474902.616,7479801.065,1739.855,299.4,1997_infill,1-Sep-2000
N0327,474501.987,7479299.15,1722.696,285.3,1997_infill,1-Sep-2000
N0328,474701.995,7479698.973,1731.908,280.0,1997_infill,1-Oct-2000
N0329,474101.548,7479198.189,1709.492,300.0,1997_infill,1-Sep-2000
N0330,474505.664,7479395.543,1723.537,295.5,1997_infill,1-Sep-2000
N0331,474298.169,7479298.9,1716.221,300.25,1997_infill,1-Sep-2000
